election_number,date,candidates,perks,mayor,minister
179,"December 23, 2021","Aatrox,Diaz,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSweet_Tooth,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.EZPZ",Marina,Paul
180,"December 28, 2021","Cole,Diana,Diaz,Foxy,Paul","Perks.Prospection,Perks.MiningFiesta,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.EZPZ",Cole,Paul
181,"January 2, 2022","Aatrox,Barry,Diana,Diaz,Marina","Perks.SlashedPricing,Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival",Aatrox,Diaz
182,"January 8, 2022","Barry,Diana,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.FishingFestival,Perks.LuckOfTheSea",Marina,Foxy
183,"January 13, 2022","Barry,Cole,Diana,Diaz,Foxy","Perks.ArcaneCatalyst,Perks.MiningXPBuff,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence",Foxy,Diaz
184,"January 18, 2022","Barry,Cole,Diana,Jerry,Marina","Perks.ArcaneCatalyst,Perks.MiningXPBuff,Perks.PetXPBuff,Perks.Lucky,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.FishingFestival",Jerry,Barry
185,"January 23, 2022","Barry,Cole,Diana,Diaz,Paul","Perks.ArcaneCatalyst,Perks.MiningXPBuff,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.EZPZ,Perks.Benediction",Paul,Diaz
186,"January 28, 2022","Barry,Diana,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.FishingFestival",Diana,Marina
187,"February 2, 2022","Aatrox,Cole,Diaz,Marina,Paul","Perks.SlayerXPBuff,Perks.MiningXPBuff,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival,Perks.EZPZ",Paul,Aatrox
188,"February 8, 2022","Aatrox,Barry,Diana,Diaz,Foxy","Perks.SlayerXPBuff,Perks.ArcaneCatalyst,Perks.AstralNegotiator,Perks.MagicXPBoost,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving",Barry,Aatrox
189,"February 13, 2022","Aatrox,Cole,Foxy,Marina,Paul","Perks.SlayerXPBuff,Perks.SlashedPricing,Perks.MiningXPBuff,Perks.Prospection,Perks.ATimeForGiving,Perks.FishingFestival,Perks.Marauder",Aatrox,Marina
190,"February 18, 2022","Barry,Diaz,Foxy,Marina,Paul","Perks.MagicXPBoost,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingFestival,Perks.Marauder",Barry,Marina
191,"February 23, 2022","Aatrox,Cole,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.MiningXPBuff,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingFestival",Marina,Cole
192,"February 28, 2022","Aatrox,Barry,Foxy,Paul,Scorpius","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.AstralNegotiator,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.Marauder,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Aatrox
193,"March 5, 2022","Aatrox,Barry,Diana,Foxy,Paul","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.AstralNegotiator,Perks.PetXPBuff,Perks.Lucky,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventFishing_Festival,Perks.Marauder",Aatrox,Diana
194,"March 11, 2022","Barry,Cole,Diaz,Foxy,Marina","Perks.AstralNegotiator,Perks.MiningXPBuff,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventFishing_Festival,Perks.FishingXPBuff",Foxy,Barry
195,"March 16, 2022","Barry,Diana,Diaz,Marina,Paul","Perks.AstralNegotiator,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.Marauder,Perks.Benediction",Paul,Diana
196,"March 21, 2022","Aatrox,Cole,Diana,Diaz,Foxy","Perks.Pathfinder,Perks.MiningXPBuff,Perks.Prospection,Perks.MiningFiesta,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving",Cole,Diana
197,"March 26, 2022","Aatrox,Diana,Diaz,Marina,Paul","Perks.Pathfinder,Perks.PetXPBuff,Perks.Lucky,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.Benediction",Diana,Diaz
198,"March 31, 2022","Aatrox,Barry,Foxy,Marina,Paul","Perks.Pathfinder,Perks.AstralNegotiator,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingXPBuff,Perks.FishingFestival,Perks.Benediction",Marina,Aatrox
199,"April 5, 2022","Aatrox,Barry,Cole,Diana,Paul","Perks.Pathfinder,Perks.AstralNegotiator,Perks.Prospection,Perks.Lucky,Perks.Benediction",Aatrox,Barry
200,"April 11, 2022","Barry,Cole,Derpy,Diaz,Paul","Perks.AstralNegotiator,Perks.Prospection,Perks.QuadTaxes,Perks.TurboMinions,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.Benediction",Derpy,Barry
201,"April 16, 2022","Aatrox,Barry,Cole,Diana,Diaz","Perks.SlashedPricing,Perks.AstralNegotiator,Perks.Prospection,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading",Aatrox,Diaz
202,"April 21, 2022","Cole,Diana,Diaz,Marina,Paul","Perks.Prospection,Perks.MiningFiesta,Perks.Lucky,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.Benediction,Perks.EZPZ",Diana,Paul
203,"April 26, 2022","Barry,Cole,Diaz,Foxy,Marina","Perks.AstralNegotiator,Perks.Prospection,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingXPBuff",Cole,Foxy
204,"May 1, 2022","Aatrox,Diana,Diaz,Foxy,Marina","Perks.SlashedPricing,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingXPBuff",Aatrox,Diaz
205,"May 6, 2022","Barry,Cole,Diana,Diaz,Marina","Perks.AstralNegotiator,Perks.MiningFiesta,Perks.PetXPBuff,Perks.MythologicalRitual,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff",Diana,Cole
206,"May 12, 2022","Barry,Cole,Diaz,Marina,Paul","Perks.AstralNegotiator,Perks.MiningFiesta,Perks.MiningXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.FishingFestival,Perks.Benediction,Perks.EZPZ",Paul,Marina
207,"May 17, 2022","Aatrox,Cole,Diana,Foxy,Marina","Perks.SlayerXPBuff,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Prospection,Perks.MythologicalRitual,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.FishingFestival,Perks.FishingXPBuff,Perks.LuckOfTheSea",Marina,Cole
208,"May 22, 2022","Aatrox,Diaz,Foxy,Jerry,Paul","Perks.SlayerXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventFishing_Festival,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.Marauder",Jerry,Aatrox
209,"May 27, 2022","Aatrox,Barry,Cole,Diaz,Foxy","Perks.SlayerXPBuff,Perks.AstralNegotiator,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival",Cole,Aatrox
