election_number,date,candidates,perks,mayor,minister
358,"July 5, 2024","Cole,Diana,Diaz,Foxy,Paul","Perks.Prospection,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.ShoppingSpree,Perks.StockExchange,Perks.SweetBenevolence,Perks.Benediction",Diaz,Diana
359,"July 10, 2024","Cole,Diana,Finnegan,Marina,Paul","Perks.Prospection,Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.LuckOfTheSea,Perks.Marauder,Perks.Benediction",Diana,Finnegan
360,"July 15, 2024","Aatrox,Diaz,Foxy,Marina,Scorpius","Perks.SlashedPricing,Perks.Pathfinder,Perks.LongTermInvestment,Perks.ChivalrousCarnival,Perks.LuckOfTheSea,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Foxy
361,"July 20, 2024","Cole,Diana,Finnegan,Foxy,Paul","Perks.Prospection,Perks.SharingIsCaring,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.ATimeForGiving,Perks.ChivalrousCarnival,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Foxy,Paul
362,"July 26, 2024","Cole,Diana,Diaz,Finnegan,Paul","Perks.Prospection,Perks.MythologicalRitual,Perks.SharingIsCaring,Perks.VolumeTrading,Perks.LongTermInvestment,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Paul,Finnegan
363,"July 31, 2024","Cole,Diana,Diaz,Finnegan,Marina","Perks.Prospection,Perks.MythologicalRitual,Perks.SharingIsCaring,Perks.StockExchange,Perks.VolumeTrading,Perks.LongTermInvestment,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.LuckOfTheSea,Perks.FishingFestival",Diaz,Cole
364,"August 5, 2024","Aatrox,Cole,Diana,Finnegan,Paul","Perks.SlashedPricing,Perks.Pathfinder,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.MoltenForge,Perks.Lucky,Perks.MythologicalRitual,Perks.SharingIsCaring,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.Benediction",Cole,Diana
365,"August 10, 2024","Aatrox,Diana,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder,Perks.Lucky,Perks.MythologicalRitual,Perks.SharingIsCaring,Perks.ExtraEventMining_Fiesta,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Benediction",Aatrox,Diana
366,"August 15, 2024","Cole,Diaz,Finnegan,Marina,Paul","Perks.MiningXPBuff,Perks.StockExchange,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Marauder,Perks.Benediction",Marina,Finnegan
367,"August 20, 2024","Aatrox,Diana,Diaz,Foxy,Paul","Perks.Pathfinder,Perks.Lucky,Perks.MythologicalRitual,Perks.SharingIsCaring,Perks.StockExchange,Perks.LongTermInvestment,Perks.ChivalrousCarnival,Perks.ExtraEventFishing_Festival,Perks.Marauder,Perks.EZPZ,Perks.Benediction",Paul,Diana
368,"August 26, 2024","Aatrox,Derpy,Diaz,Finnegan,Marina","Perks.Pathfinder,Perks.QuadTaxes,Perks.TurboMinions,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.StockExchange,Perks.LongTermInvestment,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.FishingFestival",Derpy,Diaz
369,"August 31, 2024","Aatrox,Diaz,Finnegan,Foxy,Paul","Perks.Pathfinder,Perks.StockExchange,Perks.LongTermInvestment,Perks.PestEradicator,Perks.PeltPocalypse,Perks.BloomingBusiness,Perks.ChivalrousCarnival,Perks.ExtraEventSpooky_Festival,Perks.Marauder",Finnegan,Foxy
