election_number,date,candidates,perks,mayor,minister
1,"Jun 11, 2019",Seraphine,,,
88,"Sep 9, 2020","Barry,Cole,Diana,Marina,Paul","Perks.MagicXPBoost,Perks.MiningFiesta,Perks.MythologicalRitual,Perks.FishingFestival,Perks.Marauder",Diana,Cole
89,"Sep 14, 2020",Marina,Perks.FishingFestival,,
90,"Sep 19, 2020",Foxy,"Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta",,
91,"Sep 24, 2020",Cole,"Perks.MiningXPBuff,Perks.Prospection",,
92,"Sep 30, 2020",Aatrox,"Perks.Pathfinder,Perks.SlashedPricing",,
93,"Oct 5, 2020",Cole,Perks.FishingFestival,,
94,"Oct 10, 2020",Diana,"Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring",,
95,"Oct 15, 2020","Aatrox,Cole,Diaz,Foxy,Paul","Perks.SlayerXPBuff,Perks.MiningXPBuff,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival,Perks.EZPZ,Perks.Marauder",,
96,"Oct 20, 2020",Scorpius,"Perks.Bribe,Perks.DarkerAuctions",,
97,"Oct 25, 2020",Marina,"Perks.FishingFestival,Perks.LuckOfTheSea",,
98,"Oct 31, 2020",Aatrox,"Perks.Pathfinder,Perks.SlashedPricing",,
99,"Nov 5, 2020","Cole,Diana,Diaz,Foxy,Paul","Perks.MiningXPBuff,Perks.Prospection,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival,Perks.SweetBenevolence,Perks.ChivalrousCarnival,Perks.EZPZ,Perks.Marauder",,
100,"Nov 10, 2020",Paul,"Perks.EZPZ,Perks.Marauder,Perks.Benediction",,
101,"Nov 15, 2020","Barry,Cole,Diaz,Foxy,Marina","Perks.MagicXPBoost,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.MoltenForge,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.FishingXPBuff",,
102,"Nov 20, 2020","Aatrox,Barry,Diaz,Foxy,Paul","Perks.SlayerXPBuff,Perks.MagicXPBoost,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventSpooky_Festival,Perks.EZPZ,Perks.Marauder",,
103,"Nov 25, 2020","Barry,Cole,Diana,Marina,Paul","Perks.MagicXPBoost,Perks.MiningFiesta,Perks.Lucky,Perks.MythologicalRitual,Perks.FishingXPBuff,Perks.FishingFestival,Perks.EZPZ,Perks.Marauder",,
104,"Dec 1, 2020","Aatrox,Barry,Derpy,Foxy,Paul","Perks.SlayerXPBuff,Perks.QuadTaxes,Perks.TurboMinions,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival,Perks.EZPZ,Perks.Marauder",,
105,"Dec 6, 2020","Barry,Cole,Foxy,Marina,Paul","Perks.MagicXPBoost,Perks.MiningFiesta,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.FishingXPBuff,Perks.FishingFestival,Perks.LuckOfTheSea,Perks.EZPZ,Perks.Marauder",,
106,"Dec 11, 2020","Aatrox,Barry,Cole,Diaz,Foxy","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.SlashedPricing,Perks.MagicXPBoost,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventSpooky_Festival",,
107,"Dec 16, 2020","Barry,Cole,Diana,Marina,Paul","Perks.MagicXPBoost,Perks.MiningFiesta,Perks.MythologicalRitual,Perks.FishingXPBuff,Perks.EZPZ,Perks.Marauder",,
108,"Dec 21, 2020",Cole,Perks.MiningFiesta,,
109,"Dec 26, 2020","Barry,Diaz,Foxy,Marina,Paul","Perks.MagicXPBoost,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.SweetBenevolence,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.ChivalrousCarnival,Perks.FishingXPBuff,Perks.Benediction",,
110,"Jan 1, 2021",Diana,Perks.MythologicalRitual,,
111,"Jan 6, 2021","Aatrox,Barry,Cole,Diaz,Marina","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.SlashedPricing,Perks.MagicXPBoost,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingXPBuff,Perks.FishingFestival",,
112,"Jan 11, 2021","Cole,Diaz,Foxy,Jerry,Marina","Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.FishingXPBuff,Perks.FishingFestival",,
113,"Jan 16, 2021",Cole,"Perks.MiningXPBuff,Perks.MiningFiesta",,
114,"Jan 21, 2021",Paul,"Perks.Marauder,Perks.EZPZ,Perks.Benediction",,
115,"Jan 26, 2021",Marina,"Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.DoubleTrouble",,
116,"Feb 1, 2021",Cole,Perks.MiningFiesta,,
117,"Feb 6, 2021",Diana,"Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring",,
118,"Feb 11, 2021",Marina,"Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.DoubleTrouble",,
119,"Feb 16, 2021",Aatrox,"Perks.SlayerXPBuff,Perks.Pathfinder,Perks.SlashedPricing",,
120,"Feb 21, 2021","Barry,Cole,Foxy,Marina,Scorpius","Perks.MagicXPBoost,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.FishingXPBuff,Perks.Bribe,Perks.DarkerAuctions",Scorpius,Marina
121,"Feb 26, 2021",Diana,"Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring",,
122,"Mar 4, 2021","Aatrox,Barry,Cole,Marina,Paul","Perks.SlayerXPBuff,Perks.MagicXPBoost,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Prospection,Perks.FishingXPBuff,Perks.Marauder,Perks.EZPZ,Perks.Benediction",,
123,"Mar 9, 2021",Foxy,"Perks.ExtraEventFishing_Festival,Perks.ATimeForGiving,Perks.SweetBenevolence",,
124,"Mar 14, 2021",Marina,"Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.DoubleTrouble",,
125,"Mar 19, 2021",Paul,"Perks.Marauder,Perks.EZPZ,Perks.Benediction",,
126,"Mar 24, 2021",Cole,"Perks.MiningXPBuff,Perks.MiningFiesta,Perks.Prospection",,
127,"Mar 29, 2021","Aatrox,Diana,Diaz,Foxy,Paul","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.SlashedPricing",,
128,"Apr 4, 2021",Dante,"Perks.EconomyRestoration,Perks.IncreaseSecurity",Dante,Dante
129,"Apr 9, 2021",Dante,"Perks.EconomyRestoration,Perks.IncreaseSecurity",Dante,Dante
130,"Apr 16, 2021",Technoblade,"Perks.BloodGodsBlessing,Perks.ShrineoftheBloodGod,Perks.UnlimitedSpeed,Perks.PotatoCrownsRadiance,Perks.Anarchy",,
131,"Apr 19, 2021","Resistance,Technoblade","Perks.BloodGodsBlessing,Perks.ShrineoftheBloodGod,Perks.UnlimitedSpeed,Perks.PotatoCrownsRadiance,Perks.Anarchy",Technoblade,Resistance
132,"Apr 24, 2021","Aatrox,Cole,Diana,Diaz,Marina","Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring",,
133,"Apr 29, 2021",Paul,"Perks.Marauder,Perks.EZPZ,Perks.Benediction",,
134,"May 5, 2021",Marina,"Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.DoubleTrouble",,
135,"May 10, 2021",Foxy,"Perks.SweetBenevolence,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.ChivalrousCarnival",,
136,"May 15, 2021","Barry,Diana,Diaz,Jerry,Paul","Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse",Jerry,Diana
137,"May 20, 2021",Aatrox,"Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder",,
138,"May 25, 2021",Paul,"Perks.Marauder,Perks.EZPZ,Perks.Benediction",,
139,"May 30, 2021",Diana,"Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring",,
140,"Jun 5, 2021",Foxy,"Perks.SweetBenevolence,Perks.ExtraEventSpooky_Festival,Perks.ATimeForGiving,Perks.ChivalrousCarnival",,
141,"Jun 10, 2021",Aatrox,Perks.SlayerXPBuff,,
142,"Jun 15, 2021","Diana,Paul","Perks.EZPZ,Perks.Benediction",,
143,"Jun 20, 2021","Diana,Diaz","Perks.MythologicalRitual,Perks.PetXPBuff",,
144,"Jun 25, 2021",Scorpius,"Perks.Bribe,Perks.DarkerAuctions",,
145,"Jun 30, 2021","Aatrox,Cole,Diana,Diaz,Paul","Perks.LongTermInvestment,Perks.VolumeTrading,Perks.StockExchange,Perks.ShoppingSpree",,
146,"Jul 6, 2021",Marina,"Perks.FishingXPBuff,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.DoubleTrouble",,
147,"Jul 11, 2021",Aatrox,"Perks.SlayerXPBuff,Perks.Pathfinder",,
148,"Jul 16, 2021",Foxy,"Perks.SweetBenevolence,Perks.ExtraEventFishing_Festival,Perks.ATimeForGiving,Perks.ChivalrousCarnival",,
149,"Jul 21, 2021",Diana,"Perks.Lucky,Perks.MythologicalRitual,Perks.PetXPBuff,Perks.SharingIsCaring",,
150,"Jul 26, 2021",Aatrox,"Perks.EZPZ,Perks.Benediction",,
151,"Jul 31, 2021",Aatrox,"Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Pathfinder",,
152,"Aug 6, 2021","Barry,Derpy,Foxy,Marina,Paul","Perks.ArcaneCatalyst,Perks.QuadTaxes,Perks.TurboMinions,Perks.DoubleMobsHP,Perks.MoarSkillz,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.Marauder",Derpy,Marina
153,"Aug 11, 2021","Barry,Cole,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.Prospection,Perks.MiningXPBuff,Perks.MiningFiesta,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.LuckOfTheSea,Perks.FishingFestival",Cole,Marina
154,"Aug 16, 2021","Aatrox,Diana,Diaz,Foxy,Paul","Perks.SlayerXPBuff,Perks.MythologicalRitual,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventMining_Fiesta,Perks.Marauder,Perks.Benediction",Diana,Paul
155,"Aug 21, 2021","Aatrox,Barry,Diaz,Foxy,Marina","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.ArcaneCatalyst,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.ExtraEventSpooky_Festival,Perks.LuckOfTheSea,Perks.FishingFestival",Marina,Aatrox
156,"Aug 26, 2021","Aatrox,Barry,Cole,Diana,Diaz","Perks.SlayerXPBuff,Perks.Pathfinder,Perks.ArcaneCatalyst,Perks.Prospection,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading",Aatrox,Diaz
