election_number,date,candidates,perks,mayor,minister,Perks.ATimeForGiving,Perks.ArcaneCatalyst,Perks.AstralNegotiator,Perks.Benediction,Perks.BloomingBusiness,Perks.Bribe,Perks.ChivalrousCarnival,Perks.DarkerAuctions,Perks.DoubleMobsHP,Perks.DoubleTrouble,Perks.EZPZ,Perks.ExtraEvent,Perks.ExtraEventFishing_Festival,Perks.ExtraEventMining_Fiesta,Perks.ExtraEventSpooky_Festival,Perks.ExtraEventSweet_Tooth,Perks.FishingFestival,Perks.FishingXPBuff,Perks.GOATed,Perks.Jerrypocalypse,Perks.LongTermInvestment,Perks.LuckOfTheSea,Perks.Lucky,Perks.MagicXPBoost,Perks.Marauder,Perks.MiningFiesta,Perks.MiningXPBuff,Perks.MoarSkillz,Perks.MoltenForge,Perks.MythologicalRitual,Perks.Pathfinder,Perks.PeltPocalypse,Perks.Perkpocalypse,Perks.PestEradicator,Perks.PetXPBuff,Perks.Prospection,Perks.QuadTaxes,Perks.SharingIsCaring,Perks.ShoppingSpree,Perks.SlashedPricing,Perks.SlayerXPBuff,Perks.Statspocalypse,Perks.StockExchange,Perks.SweetBenevolence,Perks.TurboMinions,Perks.VolumeTrading
179,"December 23, 2021","Aatrox,Diaz,Foxy,Marina,Paul","Perks.SlashedPricing,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventSweet_Tooth,Perks.SweetBenevolence,Perks.ATimeForGiving,Perks.LuckOfTheSea,Perks.FishingFestival,Perks.EZPZ",Marina,Paul,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5
180,"December 28, 2021","Cole,Diana,Diaz,Foxy,Paul","Perks.Prospection,Perks.MiningFiesta,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ExtraEventMining_Fiesta,Perks.ATimeForGiving,Perks.SweetBenevolence,Perks.EZPZ",Cole,Paul,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5
181,"January 2, 2022","Aatrox,Barry,Diana,Diaz,Marina","Perks.SlashedPricing,Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival",Aatrox,Diaz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,"January 8, 2022","Barry,Diana,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventFishing_Festival,Perks.SweetBenevolence,Perks.FishingFestival,Perks.LuckOfTheSea",Marina,Foxy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
183,"January 13, 2022","Barry,Cole,Diana,Diaz,Foxy","Perks.ArcaneCatalyst,Perks.MiningXPBuff,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.ExtraEventMining_Fiesta,Perks.SweetBenevolence",Foxy,Diaz,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
184,"January 18, 2022","Barry,Cole,Diana,Jerry,Marina","Perks.ArcaneCatalyst,Perks.MiningXPBuff,Perks.PetXPBuff,Perks.Lucky,Perks.Perkpocalypse,Perks.Statspocalypse,Perks.Jerrypocalypse,Perks.FishingFestival",Jerry,Barry,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
185,"January 23, 2022","Barry,Cole,Diana,Diaz,Paul","Perks.ArcaneCatalyst,Perks.MiningXPBuff,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.EZPZ,Perks.Benediction",Paul,Diaz,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,"January 28, 2022","Barry,Diana,Diaz,Foxy,Marina","Perks.ArcaneCatalyst,Perks.PetXPBuff,Perks.Lucky,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving,Perks.FishingFestival",Diana,Marina,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
187,"February 2, 2022","Aatrox,Cole,Diaz,Marina,Paul","Perks.SlayerXPBuff,Perks.MiningXPBuff,Perks.Prospection,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.FishingFestival,Perks.EZPZ",Paul,Aatrox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
188,"February 8, 2022","Aatrox,Barry,Diana,Diaz,Foxy","Perks.SlayerXPBuff,Perks.ArcaneCatalyst,Perks.AstralNegotiator,Perks.MagicXPBoost,Perks.PetXPBuff,Perks.LongTermInvestment,Perks.VolumeTrading,Perks.ATimeForGiving",Barry,Aatrox,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
